Genes	Uniprot	Protein	Color	0_point	30_seconds	5_minutes	30_minutes
UPF1	Q92900	Regulator of nonsense transcripts 1	pink	0.913882190837065	0.877758083246745	0.812502343720704	0.584665863687336
MOV10	Q9HCE1	Putative helicase MOV-10	pink	0.902126784962759	0.927272727272727	0.794614800057508	0.573996762375394
TUBB	P07437	Tubulin beta chain	pink	0.865598623729907	0.846137276322065	0.784673025989966	0.504754358161648
HSP90AA1	P07900	Heat shock protein HSP 90-alpha	pink	0.734289889730304	0.683684443600936	0.535618092319123	0.44264232128326
TUBB4B	P68371	Tubulin beta-4B chain	pink	0.90543914063091	0.871847447201148	0.752683385269822	0.534948611821606
LARP7	Q4G0J3	La-related protein 7	orange	0.860929546908464	0.811722177244742	0.643112062812277	0.399186498518995
MEPCE	Q7L2J0	7SK snRNA methylphosphate capping enzyme	orange	0.988806304289424	0.972663404499604	0.707354189224781	0.381601405001608
HSP90AB1	P08238	Heat shock protein HSP 90-beta	orange	0.829053984751615	0.801893894369825	0.683163297636398	0.371598778388025
PARP1	P09874	Poly [ADP-ribose] polymerase 1	orange	0.892082060800967	0.80686778168334	0.558498896247241	0.23942226515261
HSPA1A, HSPA1B	P0DMV8, P0DMV9	Heat shock 70 kDa protein 1A, Heat shock 70 kDa protein 1B	orange	0.915916925922812	0.855210957634726	0.657358231968477	0.363592393656289
HSPA8	P11142	Heat shock cognate 71 kDa protein	orange	0.911699779249448	0.85698758652251	0.661315450789135	0.376659643698652
UBB, UBC, RPS27A, UBA52	P0CG47, P0CG48, P62979, P62987	Polyubiquitin-B [Cleaved into: Ubiquitin], Polyubiquitin-C [Cleaved into: Ubiquitin], Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40	orange	0.9280420234583	0.843451579573562	0.639938069347928	0.428812959091584
PABPC4	Q13310	Polyadenylate-binding protein 4	blue	0.912724733810438	0.886627742191486	0.839080829699242	0.725191678804034
ZCCHC3	Q9NUD5	Zinc finger CCHC domain-containing protein 3	blue	0.858900553109832	0.873867964985747	0.814601950387482	0.72083414756707
PABPC1	P11940	Polyadenylate-binding protein 1	blue	0.914784831700043	0.892178638431846	0.856146155506006	0.714228559997714
ORF1, ORF1, L1RE1	Orf1-untagged(native):, Orf1-untagged(optimized):, Q9UN81	LINE-1 retrotransposable element ORF1 protein	blue	0.914368898784038	0.953432057371705	0.897591348517123	0.802258211227779
ORF2	O00370		blue	0.910047674732392	0.910594546267322	0.907780554607745	0.907515306216821
HNRNPU	Q00839	Heterogeneous nuclear ribonucleoprotein U	grey	0.916819164864415	0.748932965101682	0.544875295831058	0.271620135332979
SRSF2	Q01130	Serine/arginine-rich splicing factor 2	grey	0.883095627776479	0.643519178668188	0.321251612027421	0.106257094084316
OTUD4	Q01804	OTU domain-containing protein 4	grey	0.845969008964604	0.621312530768357	0.399565285266533	0.237595681741941
RPL18A	Q02543	60S ribosomal protein L18a	grey	0.958002603838562	0.772188809914343	0.633108306427942	0.415604527896118
