Genes	Uniprot	Protein	Color	P-value	Exp1_affinity	Exp2_affinity	Avg_affinity
ORF1, ORF1, L1RE1	Orf1-untagged(native):, Orf1-untagged(optimized):, Q9UN81	LINE-1 retrotransposable element ORF1 protein	blue	0.0000000000000000000000000000178129127759664	0.6884	0.4713	0.5798
MOV10	Q9HCE1	Putative helicase MOV-10	blue	0.0000000000000000000919752013262566	0.4672	0.5209	0.4941
ZCCHC3	Q9NUD5	Zinc finger CCHC domain-containing protein 3	blue	0.000000000000000129219561153449	0.5093	0.4018	0.4555
UPF1	Q92900	Regulator of nonsense transcripts 1	blue	0.000000590078076378534	0.2435	0.3712	0.3074
PABPC4	Q13310	Polyadenylate-binding protein 4	blue	NA	-0.0655	-0.0547	-0.0601
PABPC1	P11940	Polyadenylate-binding protein 1	blue	NA	-0.0371	-0.0624	-0.0497
ORF2	O00370		blue	NA	-0.1111	-0.03	-0.0705
RPL10A	P62906	60S ribosomal protein L10a	black	0.0000000000000000000000000000000000000000000000000903091056473806	0.848	0.6257	0.7368
RPL12	P30050	60S ribosomal protein L12	black	0.00000000000000000000000000000000000000000000000588080895476605	0.8129	0.6429	0.7279
RBM8A	Q9Y5S9	RNA-binding protein 8A	black	0.000000000000000000000000000638637549539172	0.6462	0.4959	0.571
RPLP0, RPLP0P6	P05388, Q8NHW5	60S acidic ribosomal protein P0, 60S acidic ribosomal protein P0-like	black	0.0000000000000000000000124586442589896	0.5958	0.4667	0.5312
EIF4A3	P38919	Eukaryotic initiation factor 4A-III	black	0.000000000000000000000689487200451989	0.5317	0.5028	0.5172
MAGOH	P61326	Protein mago nashi homolog	black	0.0000000000000000000230655121256295	0.5022	0.5004	0.5013
SRSF7	Q16629	Serine/arginine-rich splicing factor 7	black	0.0000846464809506878	0.2533	0.2786	0.2659
RPL30	P62888	60S ribosomal protein L30	black	0.000109960108152504	0.3224	0.1865	0.2544
FKBP4	Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4	pink	NA	0.0455	-0.1498	-0.0521
HAX1	O00165	HCLS1-associated protein X-1	pink	NA	-0.0952	-0.1327	-0.1139
PURB	Q96QR8	Transcriptional activator protein Pur-beta	pink	NA	-0.1373	0.0233	-0.057
IPO7	O95373	Importin-7	pink	NA	-0.0336	-0.1592	-0.0964
TUBB	P07437	Tubulin beta chain	pink	NA	-0.0215	-0.1772	-0.0993
HSP90AA1	P07900	Heat shock protein HSP 90-alpha	pink	NA	-0.0153	-0.1781	-0.0967
HSP90AB1	P08238	Heat shock protein HSP 90-beta	pink	NA	-0.0136	-0.1643	-0.089
PARP1	P09874	Poly [ADP-ribose] polymerase 1	pink	NA	-0.12	-0.0499	-0.0849
HSPA1A, HSPA1B	P0DMV8, P0DMV9	Heat shock 70 kDa protein 1A, Heat shock 70 kDa protein 1B	pink	NA	-0.1171	-0.0234	-0.0702
HSPA8	P11142	Heat shock cognate 71 kDa protein	pink	NA	-0.089	-0.0596	-0.0743
PCNA	P12004	Proliferating cell nuclear antigen	pink	NA	-0.1446	-0.0699	-0.1073
NAP1L1	P55209	Nucleosome assembly protein 1-like 1	pink	NA	-0.1894	-0.0025	-0.096
UBB, UBC, RPS27A, UBA52	P0CG47, P0CG48, P62979, P62987	Polyubiquitin-B [Cleaved into: Ubiquitin], Polyubiquitin-C [Cleaved into: Ubiquitin], Ubiquitin-40S ribosomal protein S27a, Ubiquitin-60S ribosomal protein L40	pink	NA	-0.064	0.026	-0.019
TUBB4B	P68371	Tubulin beta-4B chain	pink	NA	-0.0144	-0.1655	-0.09
PURA	Q00577	Transcriptional activator protein Pur-alpha	pink	NA	-0.1541	0.0179	-0.0681
HNRNPU	Q00839	Heterogeneous nuclear ribonucleoprotein U	gray	NA	-0.0196	0.0182	-0.0007
SLC25A11	Q02978	Mitochondrial 2-oxoglutarate/malate carrier protein	gray	NA	-0.0034	-0.1191	-0.0612
